id,label,latitude,longitude,n1,n2,n3,n4,n5,d1,d2,d3,d4,d5
72,W 52 St & 11 Ave,40.76727216,-73.99392888,480,513,508,495,530,0.17780736685282,0.28502152791732,0.30285853404336,0.3196273377671,0.3430221582592
79,Franklin St & W Broadway,40.71911552,-74.00666661,320,249,248,329,257,0.12171890974379,0.12541983799964,0.19705340355185,0.20654338246413,0.22049557128084
82,St James Pl & Pearl St,40.71117416,-74.00016545,308,2009,279,387,296,0.15756584934213,0.1748986293545,0.24133136604372,0.25636076076019,0.26157160957123
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,271,467,353,274,298,0.13557374684889,0.14598112188314,0.15113153503399,0.21451690240628,0.27207746887071
116,W 17 St & 8 Ave,40.74177603,-74.00149746,470,434,463,284,482,0.13875092661019,0.14902057625289,0.15491089261269,0.19977437482364,0.20247626813278
119,Park Ave & St Edwards St,40.69608941,-73.97803415,245,144,419,242,2001,0.20166141956769,0.21168946422944,0.23542934533978,0.26778201061557,0.27316091857867
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,289,364,409,344,399,0.15397856356308,0.16246560107512,0.30698866592762,0.3079117625461,0.31153286558837
127,Barrow St & Hudson St,40.73172428,-74.00674436,358,347,380,368,247,0.084555375636379,0.20993081587242,0.25432155821031,0.25773138748605,0.27007341105778
128,MacDougal St & Prince St,40.72710258,-74.00297088,348,2004,368,347,161,0.16886445888575,0.20768902452446,0.23091275574696,0.26218503638436,0.29223828823505
137,E 56 St & Madison Ave,40.761628,-73.972924,456,2023,281,520,352,0.14442444586627,0.19174616972935,0.19576137253846,0.22050837148652,0.25643627686617
143,Clinton St & Joralemon St,40.69239502,-73.99337909,157,314,233,406,322,0.1773398244889,0.1788048218734,0.19599797488131,0.23199965220446,0.28574888580567
144,Nassau St & Navy St,40.69839895,-73.98068914,2001,119,278,418,261,0.10299668065984,0.21168946422944,0.21941895810424,0.28325203815165,0.29540245285868
146,Hudson St & Reade St,40.71625008,-74.0091059,152,276,147,249,319,0.10434771991772,0.11093263553555,0.12462277275544,0.17005448207038,0.20011330867521
147,Greenwich St & Warren St,40.71542197,-74.01121978,309,152,146,276,319,0.098735339145773,0.12030641223045,0.12462277275544,0.1482325079995,0.17204097951899
150,E 2 St & Avenue C,40.7208736,-73.98085795,400,302,393,301,349,0.12145667620484,0.15327521004094,0.15383519366165,0.17332267162254,0.20781807255038
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,251,303,250,268,2010,0.157209678066,0.17345618840289,0.20631949134562,0.2294213912273,0.2696270696511
152,Warren St & Church St,40.71473993,-74.00910627,319,146,147,417,330,0.096307595687961,0.10434771991772,0.12030641223045,0.13872400551797,0.18290062518564
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,517,485,519,318,484,0.097010544521757,0.14823679268702,0.17250772064272,0.206395913908,0.21758171605149
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,143,398,406,314,233,0.1773398244889,0.20867711578988,0.29281876071584,0.35608214219334,0.35662961682163
160,E 37 St & Lexington Ave,40.748238,-73.978311,167,518,472,517,519,0.12696102744068,0.25664530944609,0.25829515736519,0.28046505040062,0.28870622978748
